id,venue_id,day,opening_time,closing_time
85,ven_3068674e6f56796343637a526b6f7759743177664259304a496843,0,7,18
86,ven_3068674e6f56796343637a526b6f7759743177664259304a496843,1,7,18
87,ven_3068674e6f56796343637a526b6f7759743177664259304a496843,2,7,18
88,ven_3068674e6f56796343637a526b6f7759743177664259304a496843,3,7,18
89,ven_3068674e6f56796343637a526b6f7759743177664259304a496843,4,7,18
90,ven_3068674e6f56796343637a526b6f7759743177664259304a496843,5,-1,-1
91,ven_3068674e6f56796343637a526b6f7759743177664259304a496843,6,-1,-1
92,ven_306943706c304962617575526b6f77595249535675516f4a496843,0,17,23
93,ven_306943706c304962617575526b6f77595249535675516f4a496843,1,17,0
94,ven_306943706c304962617575526b6f77595249535675516f4a496843,2,17,0
95,ven_306943706c304962617575526b6f77595249535675516f4a496843,3,16,2
96,ven_306943706c304962617575526b6f77595249535675516f4a496843,4,14,2
97,ven_306943706c304962617575526b6f77595249535675516f4a496843,5,12,2
98,ven_306943706c304962617575526b6f77595249535675516f4a496843,6,12,23
99,ven_30714e5a724f6950413148526b6f7759744c354b5331454a496843,0,11,3
100,ven_30714e5a724f6950413148526b6f7759744c354b5331454a496843,1,11,3
101,ven_30714e5a724f6950413148526b6f7759744c354b5331454a496843,2,11,3
102,ven_30714e5a724f6950413148526b6f7759744c354b5331454a496843,3,11,3
103,ven_30714e5a724f6950413148526b6f7759744c354b5331454a496843,4,11,3
104,ven_30714e5a724f6950413148526b6f7759744c354b5331454a496843,5,9,3
105,ven_30714e5a724f6950413148526b6f7759744c354b5331454a496843,6,9,3
106,ven_342d4f33343573744c7a2d526b6f775a42774547545f774a496843,0,17,21
107,ven_342d4f33343573744c7a2d526b6f775a42774547545f774a496843,1,17,21
108,ven_342d4f33343573744c7a2d526b6f775a42774547545f774a496843,2,17,21
109,ven_342d4f33343573744c7a2d526b6f775a42774547545f774a496843,3,17,21
110,ven_342d4f33343573744c7a2d526b6f775a42774547545f774a496843,4,17,22
111,ven_342d4f33343573744c7a2d526b6f775a42774547545f774a496843,5,17,22
112,ven_342d4f33343573744c7a2d526b6f775a42774547545f774a496843,6,-1,-1
113,ven_34416b6a74734635334274526b6f775964314e46695a734a496843,0,0,0
114,ven_34416b6a74734635334274526b6f775964314e46695a734a496843,1,0,0
115,ven_34416b6a74734635334274526b6f775964314e46695a734a496843,2,0,0
116,ven_34416b6a74734635334274526b6f775964314e46695a734a496843,3,0,0
117,ven_34416b6a74734635334274526b6f775964314e46695a734a496843,4,0,0
118,ven_34416b6a74734635334274526b6f775964314e46695a734a496843,5,0,0
119,ven_34416b6a74734635334274526b6f775964314e46695a734a496843,6,0,0
120,ven_345749524855354c344259526b6f775a56706b674639724a496843,0,16,22
121,ven_345749524855354c344259526b6f775a56706b674639724a496843,1,16,22
122,ven_345749524855354c344259526b6f775a56706b674639724a496843,2,16,22
123,ven_345749524855354c344259526b6f775a56706b674639724a496843,3,16,22
124,ven_345749524855354c344259526b6f775a56706b674639724a496843,4,16,22
125,ven_345749524855354c344259526b6f775a56706b674639724a496843,5,11,22
126,ven_345749524855354c344259526b6f775a56706b674639724a496843,6,11,22
127,ven_3844703267353739533762526b6f775a7052724545786c4a496843,0,12,22
128,ven_3844703267353739533762526b6f775a7052724545786c4a496843,1,12,22
129,ven_3844703267353739533762526b6f775a7052724545786c4a496843,2,12,22
130,ven_3844703267353739533762526b6f775a7052724545786c4a496843,3,12,22
131,ven_3844703267353739533762526b6f775a7052724545786c4a496843,4,12,22
132,ven_3844703267353739533762526b6f775a7052724545786c4a496843,5,12,22
133,ven_3844703267353739533762526b6f775a7052724545786c4a496843,6,12,22
134,ven_38493930432d7835416344526b6f775a46505a4f4566384a496843,0,10,22
135,ven_38493930432d7835416344526b6f775a46505a4f4566384a496843,1,10,22
136,ven_38493930432d7835416344526b6f775a46505a4f4566384a496843,2,10,22
137,ven_38493930432d7835416344526b6f775a46505a4f4566384a496843,3,10,22
138,ven_38493930432d7835416344526b6f775a46505a4f4566384a496843,4,10,22
139,ven_38493930432d7835416344526b6f775a46505a4f4566384a496843,5,9,22
140,ven_38493930432d7835416344526b6f775a46505a4f4566384a496843,6,9,22
141,ven_384a62436f6d5976694364526b6f77595a5968617061724a496843,0,11,22
142,ven_384a62436f6d5976694364526b6f77595a5968617061724a496843,1,11,22
143,ven_384a62436f6d5976694364526b6f77595a5968617061724a496843,2,11,22
144,ven_384a62436f6d5976694364526b6f77595a5968617061724a496843,3,11,22
145,ven_384a62436f6d5976694364526b6f77595a5968617061724a496843,4,11,22
146,ven_384a62436f6d5976694364526b6f77595a5968617061724a496843,5,9,22
147,ven_384a62436f6d5976694364526b6f77595a5968617061724a496843,6,9,22
148,ven_3855585f5861474e706f34526b6f7759393079333631484a496843,0,17,22
149,ven_3855585f5861474e706f34526b6f7759393079333631484a496843,1,17,22
150,ven_3855585f5861474e706f34526b6f7759393079333631484a496843,2,17,22
151,ven_3855585f5861474e706f34526b6f7759393079333631484a496843,3,17,22
152,ven_3855585f5861474e706f34526b6f7759393079333631484a496843,4,17,22
153,ven_3855585f5861474e706f34526b6f7759393079333631484a496843,5,17,22
154,ven_3855585f5861474e706f34526b6f7759393079333631484a496843,6,17,22
155,ven_385a743953644e70587637526b6f7759395f534f5334334a496843,0,11,21
156,ven_385a743953644e70587637526b6f7759395f534f5334334a496843,1,11,21
157,ven_385a743953644e70587637526b6f7759395f534f5334334a496843,2,11,21
158,ven_385a743953644e70587637526b6f7759395f534f5334334a496843,3,11,21
159,ven_385a743953644e70587637526b6f7759395f534f5334334a496843,4,11,21
160,ven_385a743953644e70587637526b6f7759395f534f5334334a496843,5,17,21
161,ven_385a743953644e70587637526b6f7759395f534f5334334a496843,6,-1,-1
162,ven_38634657454b5f4e4f3633526b6f7759706f526b4956354a496843,0,13,2
163,ven_38634657454b5f4e4f3633526b6f7759706f526b4956354a496843,1,13,2
164,ven_38634657454b5f4e4f3633526b6f7759706f526b4956354a496843,2,13,2
165,ven_38634657454b5f4e4f3633526b6f7759706f526b4956354a496843,3,13,2
166,ven_38634657454b5f4e4f3633526b6f7759706f526b4956354a496843,4,13,2
167,ven_38634657454b5f4e4f3633526b6f7759706f526b4956354a496843,5,13,2
168,ven_38634657454b5f4e4f3633526b6f7759706f526b4956354a496843,6,13,2
169,ven_386a38316843494f623939526b6f775956497a52385f6b4a496843,0,17,21
170,ven_386a38316843494f623939526b6f775956497a52385f6b4a496843,1,17,21
171,ven_386a38316843494f623939526b6f775956497a52385f6b4a496843,2,17,21
172,ven_386a38316843494f623939526b6f775956497a52385f6b4a496843,3,17,21
173,ven_386a38316843494f623939526b6f775956497a52385f6b4a496843,4,17,21
174,ven_386a38316843494f623939526b6f775956497a52385f6b4a496843,5,17,21
175,ven_386a38316843494f623939526b6f775956497a52385f6b4a496843,6,17,21
176,ven_386e695754345a63674c55526b6f775a52572d447461364a496843,0,-1,-1
177,ven_386e695754345a63674c55526b6f775a52572d447461364a496843,1,-1,-1
178,ven_386e695754345a63674c55526b6f775a52572d447461364a496843,2,17,1
179,ven_386e695754345a63674c55526b6f775a52572d447461364a496843,3,17,1
180,ven_386e695754345a63674c55526b6f775a52572d447461364a496843,4,17,1
181,ven_386e695754345a63674c55526b6f775a52572d447461364a496843,5,11,1
182,ven_386e695754345a63674c55526b6f775a52572d447461364a496843,6,11,18
183,ven_412d3456724470426e4e74526b6f77595a3442455832334a496843,0,12,2
184,ven_412d3456724470426e4e74526b6f77595a3442455832334a496843,1,12,2
185,ven_412d3456724470426e4e74526b6f77595a3442455832334a496843,2,12,4
186,ven_412d3456724470426e4e74526b6f77595a3442455832334a496843,3,12,2
187,ven_412d3456724470426e4e74526b6f77595a3442455832334a496843,4,12,2
188,ven_412d3456724470426e4e74526b6f77595a3442455832334a496843,5,11,2
189,ven_412d3456724470426e4e74526b6f77595a3442455832334a496843,6,12,2
190,ven_41327361525f7279547a31526b6f77596c596e506e7a524a496843,0,10,21
191,ven_41327361525f7279547a31526b6f77596c596e506e7a524a496843,1,10,21
192,ven_41327361525f7279547a31526b6f77596c596e506e7a524a496843,2,10,21
193,ven_41327361525f7279547a31526b6f77596c596e506e7a524a496843,3,10,21
194,ven_41327361525f7279547a31526b6f77596c596e506e7a524a496843,4,10,21
195,ven_41327361525f7279547a31526b6f77596c596e506e7a524a496843,5,10,21
196,ven_41327361525f7279547a31526b6f77596c596e506e7a524a496843,6,10,21
197,ven_4148494f684649484f4477526b6f775a4e68634d4255554a496843,0,7,10
198,ven_4148494f684649484f4477526b6f775a4e68634d4255554a496843,1,17,22
199,ven_4148494f684649484f4477526b6f775a4e68634d4255554a496843,2,17,22
200,ven_4148494f684649484f4477526b6f775a4e68634d4255554a496843,3,17,22
201,ven_4148494f684649484f4477526b6f775a4e68634d4255554a496843,4,17,22
202,ven_4148494f684649484f4477526b6f775a4e68634d4255554a496843,5,17,22
203,ven_4148494f684649484f4477526b6f775a4e68634d4255554a496843,6,17,22
204,ven_414a747771393059503062526b6f7759523448483656324a496843,0,9,22
205,ven_414a747771393059503062526b6f7759523448483656324a496843,1,9,22
206,ven_414a747771393059503062526b6f7759523448483656324a496843,2,9,22
207,ven_414a747771393059503062526b6f7759523448483656324a496843,3,9,22
208,ven_414a747771393059503062526b6f7759523448483656324a496843,4,9,23
209,ven_414a747771393059503062526b6f7759523448483656324a496843,5,9,23
210,ven_414a747771393059503062526b6f7759523448483656324a496843,6,9,22
211,ven_414b7738354e6969583170526b6f77594a6f5f317930534a496843,0,17,22
212,ven_414b7738354e6969583170526b6f77594a6f5f317930534a496843,1,17,22
213,ven_414b7738354e6969583170526b6f77594a6f5f317930534a496843,2,17,22
214,ven_414b7738354e6969583170526b6f77594a6f5f317930534a496843,3,17,22
215,ven_414b7738354e6969583170526b6f77594a6f5f317930534a496843,4,17,22
216,ven_414b7738354e6969583170526b6f77594a6f5f317930534a496843,5,17,22
217,ven_414b7738354e6969583170526b6f77594a6f5f317930534a496843,6,17,22
218,ven_415745442d5a476e6b6736526b6f775a787569364655794a496843,0,11,22
219,ven_415745442d5a476e6b6736526b6f775a787569364655794a496843,1,11,22
220,ven_415745442d5a476e6b6736526b6f775a787569364655794a496843,2,11,22
221,ven_415745442d5a476e6b6736526b6f775a787569364655794a496843,3,11,22
222,ven_415745442d5a476e6b6736526b6f775a787569364655794a496843,4,11,23
223,ven_415745442d5a476e6b6736526b6f775a787569364655794a496843,5,11,23
224,ven_415745442d5a476e6b6736526b6f775a787569364655794a496843,6,11,22
225,ven_41585874446f73365f7a42526b6f77595a6f43636432304a496843,0,16,21
226,ven_41585874446f73365f7a42526b6f77595a6f43636432304a496843,1,16,21
227,ven_41585874446f73365f7a42526b6f77595a6f43636432304a496843,2,16,21
228,ven_41585874446f73365f7a42526b6f77595a6f43636432304a496843,3,16,21
229,ven_41585874446f73365f7a42526b6f77595a6f43636432304a496843,4,12,22
230,ven_41585874446f73365f7a42526b6f77595a6f43636432304a496843,5,12,22
231,ven_41585874446f73365f7a42526b6f77595a6f43636432304a496843,6,12,21
232,ven_4167636c42756f62557359526b6f775a646f545a4f554b4a496843,0,12,22
233,ven_4167636c42756f62557359526b6f775a646f545a4f554b4a496843,1,12,22
234,ven_4167636c42756f62557359526b6f775a646f545a4f554b4a496843,2,12,22
235,ven_4167636c42756f62557359526b6f775a646f545a4f554b4a496843,3,12,22
236,ven_4167636c42756f62557359526b6f775a646f545a4f554b4a496843,4,12,23
237,ven_4167636c42756f62557359526b6f775a646f545a4f554b4a496843,5,12,23
238,ven_4167636c42756f62557359526b6f775a646f545a4f554b4a496843,6,12,22
239,ven_4168437230416a45783158526b6f7759526c2d6f5339524a496843,0,11,23
240,ven_4168437230416a45783158526b6f7759526c2d6f5339524a496843,1,11,23
241,ven_4168437230416a45783158526b6f7759526c2d6f5339524a496843,2,11,23
242,ven_4168437230416a45783158526b6f7759526c2d6f5339524a496843,3,11,23
243,ven_4168437230416a45783158526b6f7759526c2d6f5339524a496843,4,11,0
244,ven_4168437230416a45783158526b6f7759526c2d6f5339524a496843,5,11,0
245,ven_4168437230416a45783158526b6f7759526c2d6f5339524a496843,6,11,23
246,ven_416a395131386f65616b51526b6f7759703461425661574a496843,0,16,22
247,ven_416a395131386f65616b51526b6f7759703461425661574a496843,1,16,22
248,ven_416a395131386f65616b51526b6f7759703461425661574a496843,2,16,23
249,ven_416a395131386f65616b51526b6f7759703461425661574a496843,3,16,23
250,ven_416a395131386f65616b51526b6f7759703461425661574a496843,4,16,23
251,ven_416a395131386f65616b51526b6f7759703461425661574a496843,5,11,23
252,ven_416a395131386f65616b51526b6f7759703461425661574a496843,6,11,23
253,ven_417239716752736e6c447a526b6f7759745078672d574d4a496843,0,17,20
254,ven_417239716752736e6c447a526b6f7759745078672d574d4a496843,1,17,20
255,ven_417239716752736e6c447a526b6f7759745078672d574d4a496843,2,17,20
256,ven_417239716752736e6c447a526b6f7759745078672d574d4a496843,3,17,20
257,ven_417239716752736e6c447a526b6f7759745078672d574d4a496843,4,17,20
258,ven_417239716752736e6c447a526b6f7759745078672d574d4a496843,5,17,20
259,ven_417239716752736e6c447a526b6f7759745078672d574d4a496843,6,12,14
260,ven_417a5431376a5179444b58526b6f77596859716e6a574a4a496843,0,8,22
261,ven_417a5431376a5179444b58526b6f77596859716e6a574a4a496843,1,8,22
262,ven_417a5431376a5179444b58526b6f77596859716e6a574a4a496843,2,8,22
263,ven_417a5431376a5179444b58526b6f77596859716e6a574a4a496843,3,8,22
264,ven_417a5431376a5179444b58526b6f77596859716e6a574a4a496843,4,8,22
265,ven_417a5431376a5179444b58526b6f77596859716e6a574a4a496843,5,8,22
266,ven_417a5431376a5179444b58526b6f77596859716e6a574a4a496843,6,8,21
267,ven_4531715754335f314a5337526b6f7759565950466435714a496843,0,16,22
268,ven_4531715754335f314a5337526b6f7759565950466435714a496843,1,16,22
269,ven_4531715754335f314a5337526b6f7759565950466435714a496843,2,16,22
270,ven_4531715754335f314a5337526b6f7759565950466435714a496843,3,16,22
271,ven_4531715754335f314a5337526b6f7759565950466435714a496843,4,16,22
272,ven_4531715754335f314a5337526b6f7759565950466435714a496843,5,16,22
273,ven_4531715754335f314a5337526b6f7759565950466435714a496843,6,-1,-1
274,ven_4542344e3875744948577a526b6f7759747055696252704a496843,0,15,0
275,ven_4542344e3875744948577a526b6f7759747055696252704a496843,1,15,0
276,ven_4542344e3875744948577a526b6f7759747055696252704a496843,2,15,0
277,ven_4542344e3875744948577a526b6f7759747055696252704a496843,3,12,0
278,ven_4542344e3875744948577a526b6f7759747055696252704a496843,4,12,0
279,ven_4542344e3875744948577a526b6f7759747055696252704a496843,5,12,0
280,ven_4542344e3875744948577a526b6f7759747055696252704a496843,6,12,0
281,ven_4543634c6c434732394731526b6f77595634334c5539324a496843,0,11,21
282,ven_4543634c6c434732394731526b6f77595634334c5539324a496843,1,11,21
283,ven_4543634c6c434732394731526b6f77595634334c5539324a496843,2,11,21
284,ven_4543634c6c434732394731526b6f77595634334c5539324a496843,3,11,22
285,ven_4543634c6c434732394731526b6f77595634334c5539324a496843,4,11,22
286,ven_4543634c6c434732394731526b6f77595634334c5539324a496843,5,11,22
287,ven_4543634c6c434732394731526b6f77595634334c5539324a496843,6,11,22
288,ven_4546756a7858704b6e724c526b6f7759686f55346e30354a496843,0,16,22
289,ven_4546756a7858704b6e724c526b6f7759686f55346e30354a496843,1,16,22
290,ven_4546756a7858704b6e724c526b6f7759686f55346e30354a496843,2,16,22
291,ven_4546756a7858704b6e724c526b6f7759686f55346e30354a496843,3,16,22
292,ven_4546756a7858704b6e724c526b6f7759686f55346e30354a496843,4,16,22
293,ven_4546756a7858704b6e724c526b6f7759686f55346e30354a496843,5,16,22
294,ven_4546756a7858704b6e724c526b6f7759686f55346e30354a496843,6,16,22
295,ven_454a426f344a7a6c764a74526b6f7759525f767035794b4a496843,0,17,22
296,ven_454a426f344a7a6c764a74526b6f7759525f767035794b4a496843,1,17,22
297,ven_454a426f344a7a6c764a74526b6f7759525f767035794b4a496843,2,17,22
298,ven_454a426f344a7a6c764a74526b6f7759525f767035794b4a496843,3,17,22
299,ven_454a426f344a7a6c764a74526b6f7759525f767035794b4a496843,4,17,22
300,ven_454a426f344a7a6c764a74526b6f7759525f767035794b4a496843,5,11,22
301,ven_454a426f344a7a6c764a74526b6f7759525f767035794b4a496843,6,11,22
302,ven_454b716e73544e6e535f74526b6f7759683159304f37494a496843,0,11,22
303,ven_454b716e73544e6e535f74526b6f7759683159304f37494a496843,1,11,22
304,ven_454b716e73544e6e535f74526b6f7759683159304f37494a496843,2,11,22
305,ven_454b716e73544e6e535f74526b6f7759683159304f37494a496843,3,11,22
306,ven_454b716e73544e6e535f74526b6f7759683159304f37494a496843,4,11,22
307,ven_454b716e73544e6e535f74526b6f7759683159304f37494a496843,5,11,22
308,ven_454b716e73544e6e535f74526b6f7759683159304f37494a496843,6,11,22
309,ven_454f634678633041735971526b6f7759317230696763504a496843,0,12,23
310,ven_454f634678633041735971526b6f7759317230696763504a496843,1,12,23
311,ven_454f634678633041735971526b6f7759317230696763504a496843,2,12,23
312,ven_454f634678633041735971526b6f7759317230696763504a496843,3,12,23
313,ven_454f634678633041735971526b6f7759317230696763504a496843,4,12,23
314,ven_454f634678633041735971526b6f7759317230696763504a496843,5,12,23
315,ven_454f634678633041735971526b6f7759317230696763504a496843,6,12,23
316,ven_4550537033587663775f54526b6f775a744869415761754a496843,0,12,22
317,ven_4550537033587663775f54526b6f775a744869415761754a496843,1,12,22
318,ven_4550537033587663775f54526b6f775a744869415761754a496843,2,12,22
319,ven_4550537033587663775f54526b6f775a744869415761754a496843,3,12,22
320,ven_4550537033587663775f54526b6f775a744869415761754a496843,4,12,22
321,ven_4550537033587663775f54526b6f775a744869415761754a496843,5,11,22
322,ven_4550537033587663775f54526b6f775a744869415761754a496843,6,11,22
323,ven_45526743724b6275446346526b6f77616443703474574a4a496843,0,17,21
324,ven_45526743724b6275446346526b6f77616443703474574a4a496843,1,17,21
325,ven_45526743724b6275446346526b6f77616443703474574a4a496843,2,17,21
326,ven_45526743724b6275446346526b6f77616443703474574a4a496843,3,17,21
327,ven_45526743724b6275446346526b6f77616443703474574a4a496843,4,17,21
328,ven_45526743724b6275446346526b6f77616443703474574a4a496843,5,11,22
329,ven_45526743724b6275446346526b6f77616443703474574a4a496843,6,11,21
330,ven_4557736c70763768333575526b6f775974592d573133714a496843,0,11,22
331,ven_4557736c70763768333575526b6f775974592d573133714a496843,1,11,22
332,ven_4557736c70763768333575526b6f775974592d573133714a496843,2,11,22
333,ven_4557736c70763768333575526b6f775974592d573133714a496843,3,11,22
334,ven_4557736c70763768333575526b6f775974592d573133714a496843,4,11,23
335,ven_4557736c70763768333575526b6f775974592d573133714a496843,5,11,23
336,ven_4557736c70763768333575526b6f775974592d573133714a496843,6,11,22
337,ven_45594a653355315a67485a526b6f775a647548466537304a496843,0,11,21
338,ven_45594a653355315a67485a526b6f775a647548466537304a496843,1,11,21
339,ven_45594a653355315a67485a526b6f775a647548466537304a496843,2,11,21
340,ven_45594a653355315a67485a526b6f775a647548466537304a496843,3,11,21
341,ven_45594a653355315a67485a526b6f775a647548466537304a496843,4,11,21
342,ven_45594a653355315a67485a526b6f775a647548466537304a496843,5,11,21
343,ven_45594a653355315a67485a526b6f775a647548466537304a496843,6,11,21
344,ven_45686d5f4b314856766e31526b6f77334c4a30316453394a496843,0,17,22
345,ven_45686d5f4b314856766e31526b6f77334c4a30316453394a496843,1,17,22
346,ven_45686d5f4b314856766e31526b6f77334c4a30316453394a496843,2,17,22
347,ven_45686d5f4b314856766e31526b6f77334c4a30316453394a496843,3,17,22
348,ven_45686d5f4b314856766e31526b6f77334c4a30316453394a496843,4,17,22
349,ven_45686d5f4b314856766e31526b6f77334c4a30316453394a496843,5,17,22
350,ven_45686d5f4b314856766e31526b6f77334c4a30316453394a496843,6,17,22
351,ven_4932505970545878416d71526b6f775a4a75666b6630474a496843,0,17,23
352,ven_4932505970545878416d71526b6f775a4a75666b6630474a496843,1,17,23
353,ven_4932505970545878416d71526b6f775a4a75666b6630474a496843,2,17,23
354,ven_4932505970545878416d71526b6f775a4a75666b6630474a496843,3,17,23
355,ven_4932505970545878416d71526b6f775a4a75666b6630474a496843,4,17,23
356,ven_4932505970545878416d71526b6f775a4a75666b6630474a496843,5,17,23
357,ven_4932505970545878416d71526b6f775a4a75666b6630474a496843,6,17,23
358,ven_4945542d5a7655334d6a57526b6f7759523172664f56384a496843,0,6,11
359,ven_4945542d5a7655334d6a57526b6f7759523172664f56384a496843,1,6,11
360,ven_4945542d5a7655334d6a57526b6f7759523172664f56384a496843,2,6,11
361,ven_4945542d5a7655334d6a57526b6f7759523172664f56384a496843,3,6,11
362,ven_4945542d5a7655334d6a57526b6f7759523172664f56384a496843,4,6,11
363,ven_4945542d5a7655334d6a57526b6f7759523172664f56384a496843,5,7,12
364,ven_4945542d5a7655334d6a57526b6f7759523172664f56384a496843,6,7,12
365,ven_495374556d36693165436d526b6f775a464558707631774a496843,0,11,22
366,ven_495374556d36693165436d526b6f775a464558707631774a496843,1,11,22
367,ven_495374556d36693165436d526b6f775a464558707631774a496843,2,11,22
368,ven_495374556d36693165436d526b6f775a464558707631774a496843,3,11,22
369,ven_495374556d36693165436d526b6f775a464558707631774a496843,4,11,22
370,ven_495374556d36693165436d526b6f775a464558707631774a496843,5,11,22
