original_ven_id,hash_ven_id,latitude,longitude,zone_id,name,address,venue_type,rating,price,type_mod,zone_group,image,description,location_id,venue_mod_type
ven_304d74385a726d4c746449526b6f7759565964796d33514a496843,14030565,40.7845,-73.9739,239,Thyme & Tonic,"474 Columbus Ave New York, NY 10024 United States",RESTAURANT,3.9,2.0,Restaurant,Upper West Side,https://images.happycow.net/venues/1024/50/84/hcmp50846_910055.jpeg,Thyme & Tonic is an upscale restaurant and bar located in the heart of Boston's Financial District. The venue features a modern industrial design with a spacious layout and a variety of seating options. The menu features elevated American comfort food wit,0,Restaurant
ven_304f705a563666457a3258526b6f775a6c7476456754364a496843,38057565,40.7822,-73.9787,239,Chama Mama,"373 Amsterdam Ave New York, NY 10024 United States",RESTAURANT,4.5,2.0,Restaurant,Upper West Side,"https://cititour.com/NYC_Restaurants/photos/17019_Chama%20Mama,%20Georgian,%20West%20Village,%20NYC%201.jpg","Chama Mama is a Brazilian steakhouse that offers all-you-can-eat meats, sides, and desserts. The restaurant has a casual atmosphere, and the decor is inspired by the colors and culture of Brazil. The menu features a variety of grilled meats, including chi",0,Restaurant
ven_30504d554d38614b6b6f78526b6f7759786267705963354a496843,91692844,40.7783,-73.954,263,Athleta,"1517 3rd Ave New York, NY 10028 United States",APPAREL,4.4,3.0,Fashion Convenience,Upper East Side,https://media-cdn.tripadvisor.com/media/photo-l/0f/56/c1/07/large-high-screen-good.jpg,"Athleta is a women's athletic apparel company founded in 1998. Athleta designs, manufactures and markets a range of apparel and accessories for women and girls who participate in sports and fitness activities. The company's products are sold online and th",0,Fashion Convenience
ven_30506c5677346630437635526b6f775a78304d533079784a496843,11342059,40.7728,-73.9831,142,Tatiana by Kwame Onwuachi,"10 Lincoln Center Plaza New York, NY 10023 United States",RESTAURANT,4.5,-1.0,Restaurant,Upper West Side,https://media-cdn.tripadvisor.com/media/photo-l/15/d3/d1/5b/my-fair-lady.jpg,"Tatiana by Kwame Onwuachi is a modern American restaurant located in the heart of Washington, D.C. The restaurant features a sleek and stylish interior, with a main dining room that is illuminated by a large skylight. The menu at Tatiana by Kwame Onwuachi",5321034,Restaurant
ven_30516242387878596e4d41526b6f775a745f427a7766494a496843,33439125,40.7856,-73.973,239,"Mamoun's Falafel - UWS, Manhattan, NY","508 Columbus Ave New York, NY 10024 United States",MEDITERANEAN_RESTAURANT,4.3,1.0,Mediteranean Restaurant,Upper West Side,https://media-cdn.tripadvisor.com/media/photo-l/29/c0/1a/fb/ling-spa-upper-west-side.jpg,"Mamoun's Falafel is a small, hole-in-the-wall restaurant located on the Upper West Side of Manhattan. The restaurant is known for its cheap and delicious falafel sandwiches, which are made fresh to order. The space is small and cramped, with limited seati",0,Mediteranean Restaurant
ven_3068674e6f56796343637a526b6f7759743177664259304a496843,45765601,40.7639,-73.9767,163,Mangia 57th - Midtown Italian Food & Corporate Catering NYC,"50 W 57th St New York, NY 10019 United States",ITALIAN_RESTAURANT,4.4,2.0,Italian Restaurant,Midtown Manhattan,https://media-cdn.tripadvisor.com/media/photo-l/1b/23/89/5d/metropolitan-fine-arts.jpg,"Mangia 57th is a Midtown Italian restaurant that offers both corporate catering and private dining options. The restaurant is located on the ground floor of a historic building on West 57th Street, between 6th and 7th Avenues. The dining room features exp",0,Italian Restaurant
ven_306943706c304962617575526b6f77595249535675516f4a496843,19697447,40.7867,-73.9755,239,e's BAR,"511 Amsterdam Ave New York, NY 10024 United States",BAR,4.4,2.0,Bar,Upper West Side,https://oaidalleapiprodscus.blob.core.windows.net/private/org-jGKlYxnaMuqEvd6EepOGn6fH/user-aymO9XagO63Y8m7z3r0a0Fg7/img-8BNhFYvsxyMGWQFW6nSg7DP6.png?st=2023-08-01T15%3A55%3A22Z&se=2023-08-01T17%3A55%3A22Z&sp=r&sv=2021-08-06&sr=b&rscd=inline&rsct=image/pn,"e's BAR is a dark and intimate setting with a long bar and small stage. The walls are adorned with photos of famous musicians and the ceiling is covered in tinsel. The bar has a wide selection of beer and wine, as well as a menu of small plates. The stage",11755193,BAR
ven_306c63565a476e6d385736526b6f775a39786b4a6755524a496843,54332763,40.7506,-73.9605,202,Franklin D. Roosevelt Four Freedoms State Park,"1 FDR Four Freedoms Park 1 FDR Four Freedoms Park New York, NY 10044 United States",PARK,4.7,-1.0,Park,Other,https://media-cdn.tripadvisor.com/media/photo-l/0f/ad/5c/a9/photo5jpg.jpg,Franklin D. Roosevelt Four Freedoms State Park is a four-acre state park located on the southern tip of Roosevelt Island in New York City. The park is named after President Franklin D. Roosevelt and his famous Four Freedoms speech. The park features a sta,3595273,Park
ven_306d686f6679537162766c526b6f77324c69717a3858594a496843,44704230,40.8008,-73.9593,24,Central Markets,"300 W 110th St New York, NY 10025 United States",SUPERMARKET,3.8,-1.0,Neighborhood Market,Upper West Side,https://oaidalleapiprodscus.blob.core.windows.net/private/org-jGKlYxnaMuqEvd6EepOGn6fH/user-aymO9XagO63Y8m7z3r0a0Fg7/img-k215J4hEB34K4fpEJ5EvptM9.png?st=2023-08-01T15%3A55%3A29Z&se=2023-08-01T17%3A55%3A29Z&sp=r&sv=2021-08-06&sr=b&rscd=inline&rsct=image/pn,"Central Markets is a large indoor market located in the heart of downtown. The market is open Monday through Saturday and features a variety of vendors selling fresh produce, meats, cheeses, baked goods, and more. The market also has a cafe and a few smal",23211435,Neighborhood Market
ven_307063396f374b4b4e6b71526b6f7759564a316c35656e4a496843,84666821,40.7766,-73.9622,236,J.Crew Men's Shop,"1040 Madison Ave New York, NY 10075 United States",APPAREL,4.5,3.0,Fashion Convenience,Upper East Side,https://media-cdn.tripadvisor.com/media/photo-l/17/50/25/04/portrait-and-painting.jpg,"The J.Crew Men's Shop is a store that specializes in selling clothing and accessories for men. The store is located in the United States and offers a wide variety of clothing and accessories for men, including suits, dress shirts, casual wear, and more. T",17389195,Fashion Convenience
ven_30714e5a724f6950413148526b6f7759744c354b5331454a496843,62457740,40.7755,-73.9533,263,The Penrose,"1590 2nd Ave New York, NY 10028 United States",AMERICAN_RESTAURANT,4.4,2.0,American Restaurant,Upper East Side,https://media-cdn.tripadvisor.com/media/photo-l/03/95/4a/28/comic-strip-live.jpg,"The Penrose is a New American restaurant located in the heart of Philadelphia. The restaurant is situated in a historic building that dates back to the 18th century, and features a sleek and modern interior design. The menu at The Penrose features a varie",0,American Restaurant
ven_3075502d337278736a3952526b6f775a4a72674a66616c4a496843,39769205,40.7549,-73.9949,68,Stile's Farmers Market Wholesale & Retail,"476 9th Ave New York, NY 10018 United States",MARKET,4.5,-1.0,Neighborhood Market,Chelsea/Greenwhich market,https://media-cdn.tripadvisor.com/media/photo-l/06/39/97/a2/garment-district.jpg,"Stile's Farmers Market Wholesale & Retail is a local, family-owned and operated business that has been serving the community for over 50 years. They offer a wide variety of fresh fruits and vegetables, as well as a selection of local and regional products",0,Neighborhood Market
ven_30782d4b5379586f66706d526b6f775a745f45477777774a496843,95518872,40.7519,-73.9797,170,The Escape Game NYC,"295 Madison Ave New York, NY 10017 United States",OTHER,5.0,-1.0,Tourist Destination,Midtown Manhattan,https://media-cdn.tripadvisor.com/media/photo-l/06/42/1a/c0/madison-avenue-thai-massage.jpg,"The Escape Game NYC is a room escape game venue located in New York City. The venue consists of a number of different escape games, each with a different theme and difficulty level. Players are locked in a room and have to use their wits and teamwork to e",0,Tourist Destination
ven_342d4f33343573744c7a2d526b6f775a42774547545f774a496843,2779193,40.7545,-73.9825,161,Gabriel Kreuther,"41 W 42nd St New York, NY 10036 United States",FRENCH_RESTAURANT,4.6,4.0,French Restaurant,Midtown Manhattan,https://media-cdn.tripadvisor.com/media/photo-l/0f/84/53/3e/can-you-pass-the-test.jpg,"The Gabriel Kreuther restaurant is located in the heart of New York City on West 42nd Street. The restaurant is situated in a beautiful, historic building that was once home to the New York Times. The interior of the restaurant is modern and sleek, with d",0,French Restaurant
ven_34416b6a74734635334274526b6f775964314e46695a734a496843,61577324,40.7644,-73.9885,48,Empanada Mama Hell’s Kitchen,"765 9th Ave New York, NY 10019 United States",RESTAURANT,4.4,2.0,Restaurant,Midtown Manhattan,https://media-cdn.tripadvisor.com/media/photo-l/09/36/83/eb/posh.jpg,"Empanada Mama Hell’s Kitchen is a small, hole-in-the-wall place that specializes in empanadas. The walls are covered in colorful murals and the menu is written in chalk on a blackboard. There is a small counter where you order and a few tables to eat at. ",0,Restaurant
ven_344c49766b705544393465526b6f77327244307a4159434a496843,31013017,40.8029,-73.969,24,Nicholas Roerich Museum,"319 W 107th St New York, NY 10025 United States",MUSEUM,4.8,-1.0,Cultural Heritage,Upper West Side,https://media-cdn.tripadvisor.com/media/photo-l/15/bf/23/11/cartoline-da-new-york.jpg,"The major center for the exhibition of paintings by Nicholas Roerich, a Russian-born artist who increased appreciation of the value of the cultural heritage of all nations.",136141,Cultural Heritage
ven_344c563654744266547349526b6f7733506f68442d65734a496843,92294586,40.8042,-73.9365,74,Gotham Plaza,"149-169 E 125th St New York, NY 10035 United States",SHOPPING_CENTER,4.4,-1.0,Shopping Center,Upper Manhattan,https://media-cdn.tripadvisor.com/media/photo-l/15/52/f7/87/getlstd-property-photo.jpg,"Gotham Plaza is a large, multi-level shopping mall located in the heart of Gotham City. It features a wide variety of stores and restaurants, as well as a food court, a movie theater, and a large central atrium. The mall is popular with both locals and to",0,Shopping Center
ven_344d7478767a4b74377548526b6f7759566c78494a516d4a496843,77536358,40.7587,-73.9848,230,Express,"1552 Broadway New York, NY 10036 United States",APPAREL,4.4,2.0,Fashion Convenience,Midtown Manhattan,https://media-cdn.tripadvisor.com/media/photo-l/01/f3/05/bd/the-47th-digital-store.jpg,"Express is a nightclub in the city that caters to a young, trendy crowd. The club has a large dance floor, a stage for live music, and a VIP area. The decor is modern and sleek, with dark wood floors and white walls. The club is open late, and there is a ",0,Fashion Convenience
ven_344f4d79636969674a4342526b6f775964314d7430536e4a496843,69009263,40.7641,-73.9887,48,Hudson Market Place,"755 9th Ave New York, NY 10019 United States",GROCERY,3.8,-1.0,Neighborhood Market,Midtown Manhattan,https://media-cdn.tripadvisor.com/media/photo-l/14/f8/92/64/photo0jpg.jpg,"Hudson Market Place is a large grocery store located in the heart of downtown Hudson. The store is open 24 hours a day, 7 days a week and offers a wide variety of food, household, and personal care items. The store also has a large parking lot for custome",0,Neighborhood Market
ven_345049646f62573761314b526b6f773254786a4e3765534a496843,7692,40.8084,-73.9546,41,Manhattan Food Market,"507 Manhattan Ave New York, NY 10027 United States",GROCERY,4.2,-1.0,Neighborhood Market,Upper Manhattan,https://media-cdn.tripadvisor.com/media/photo-l/13/d9/57/88/harriet-tubman-memorial.jpg,"Manhattan Food Market is a gourmet food market located in the heart of Manhattan. The market offers a wide variety of fresh, local, and organic produce, as well as a wide selection of prepared foods, cheeses, meats, and seafood. The market also features a",14112032,Neighborhood Market
ven_345253663836763832756f526b6f775a393563517377394a496843,76453157,40.7365,-73.9904,234,Union Square Greenmarket,"Union Square W & E 17th St New York, NY 10003 United States",MARKET,4.6,-1.0,Neighborhood Market,Chelsea/Greenwhich market,https://media-cdn.tripadvisor.com/media/photo-l/03/f5/8e/d6/union-square-greenmarket.jpg,"The Union Square Greenmarket is a year-round farmers market located in New York City's Union Square Park. The market is open Monday, Wednesday, Friday, and Saturday from 8:00 a.m. to 6:00 p.m. and features a wide variety of fresh, local produce, flowers, ",218647,Neighborhood Market
ven_345749524855354c344259526b6f775a56706b674639724a496843,21945075,40.7801,-73.9803,239,Sala Thai,"307 Amsterdam Ave New York, NY 10023 United States",THAI_RESTAURANT,4.7,2.0,Thai Restaurant,Upper West Side,https://media-cdn.tripadvisor.com/media/photo-l/11/10/3d/3a/img-20171017-141211-1.jpg,"Sala Thai is a popular restaurant in the heart of downtown Bangkok. The restaurant is known for its authentic Thai cuisine, and its friendly and attentive staff. The dining room is decorated in a traditional Thai style, with colorful murals and Thai artif",12690483,Thai Restaurant
ven_3458593235796c7441736f526b6f775a394c464d6c32774a496843,96164058,40.7424,-74.0061,68,Chelsea Market,"75 9th Ave New York, NY 10011 United States",MARKET,4.5,-1.0,Neighborhood Market,Chelsea/Greenwhich market,https://media-cdn.tripadvisor.com/media/photo-l/0a/23/e9/a4/chelsea-market.jpg,"Chelsea Market is a world-famous food hall in the heart of New York City's Meatpacking District. Commonly featured in walking and food tours, the market has an array of dining options that draw both locals and travelers. Set aside a couple of hours to con",288031,Neighborhood Market
ven_3461647039357657624c66526b6f775a39616d754d78594a496843,86351593,40.747,-73.9916,186,Escape Virtuality,"130 W 29th St New York, NY 10001 United States",OTHER,4.5,-1.0,Tourist Destination,Chelsea/Greenwhich market,https://media-cdn.tripadvisor.com/media/photo-f/17/9d/a4/ec/getlstd-property-photo.jpg,"Escape Virtuality is an immersive virtual reality experience that transports you to different worlds. With cutting-edge technology, you can explore new environments and interact with other players in real time. Whether you're looking for a thrilling adven",0,Tourist Destination
ven_3466426a743170534d634c526b6f77594a76706c5363784a496843,17961872,40.7724,-73.9716,43,The Mall and Literary Walk,"The Mall New York, NY 10022 United States",SCENIC_POINT,4.8,-1.0,Scenic Landmarks,Upper West Side,https://media-cdn.tripadvisor.com/media/photo-l/13/4c/11/00/sunset-at-belvedere-castle.jpg,"The Mall and Literary Walk is a large, open-air shopping mall and pedestrian walkway located in the heart of downtown Boston. The mall is home to over 100 stores and restaurants, as well as a variety of entertainment and cultural attractions. The Literary",0,Scenic Landmarks
ven_3466483971693253303578526b6f7732765463666330384a496843,8612238,40.8042,-73.9663,166,Westside Market NYC,"2840 Broadway New York, NY 10025 United States",GROCERY,4.3,2.0,Neighborhood Market,Upper West Side,https://media-cdn.tripadvisor.com/media/photo-f/04/24/49/10/tom-s-diner.jpg,"This is the diner featured in the hit TV series ""Seinfeld.""",263859,Neighborhood Market
ven_346c6843676c5559377662526b6f775a354f49314937644a496843,41767599,40.7528,-73.9787,161,SUMMIT One Vanderbilt,"45 E 42nd St New York, NY 10017 United States",TOURIST_DESTINATION,4.5,-1.0,Tourist Destination,Midtown Manhattan,https://media-cdn.tripadvisor.com/media/photo-l/21/5c/7a/f4/summit-one-vanderbilt.jpg,"Not your usual observation deck, Summit ONE Vanderbilt offers three levels of multi-sensory immersive experiences. Here, you can enjoy panoramic views, marvel at mirrored rooms and art installations. Even the elevator ride up has a light show. For those s",23709243,Tourist Destination
ven_346d334a45756f49467752526b6f775a5a62347130786d4a496843,65389107,40.7507,-74.0023,246,Hudson Market,"303 10th Ave New York, NY 10001 United States",CONVENIENCE_STORE,3.9,-1.0,Neighborhood Market,Chelsea/Greenwhich market,https://media-cdn.tripadvisor.com/media/photo-l/0b/83/5b/2c/photo1jpg.jpg,"Hudson Market is a local market located in the heart of the historic Hudson River town of Beacon, New York. The market features a wide variety of fresh, local, and organic produce, meats, cheeses, and prepared foods, as well as a selection of artisanal go",0,Neighborhood Market
ven_34787a3570694c6e375964526b6f7759645a30414138594a496843,3031,40.7795,-73.96,236,JAMES PERSE,"1128 Madison Ave New York, NY 10028 United States",APPAREL,4.6,-1.0,Fashion Convenience,Upper East Side,https://media-cdn.tripadvisor.com/media/daodao/photo-l/03/bc/07/76/encore.jpg,"James Perse is a high-end fashion retailer with a flagship store on Melrose Avenue in Los Angeles, California. The store offers a range of women's and men's clothing, as well as home goods and furniture. The store is known for its minimalist design and mo",0,Fashion Convenience
ven_347a2d78444c59782d4f4f526b6f77594e3534494233744a496843,87952100,40.7772,-73.9662,43,Cedar Hill,"East Dr. & 79th St Transverse New York, 10021 United States",OTHER,4.8,-1.0,Tourist Destination,Upper West Side,https://media-cdn.tripadvisor.com/media/photo-f/0a/bc/65/bc/20160327-125444-largejpg.jpg,"Cedar Hill is a historic site located in New York City. The site includes a mansion, gardens, and a museum. The mansion was built in the 18th century and was once the home of a wealthy family. The gardens are beautiful and include a variety of flowers and",2276758,Tourist Destination
ven_3844456669735664576538526b6f775942716d6c4a5a4b4a496843,29199346,40.7901,-73.9557,43,East Meadow,"5th Ave New York, NY 10029 United States",PARK,4.7,-1.0,Park,Upper West Side,https://media-cdn.tripadvisor.com/media/photo-l/1c/ba/9c/87/caption.jpg,First Russian Orthodox Church in New York City built in 1902 by Saint Tikhon and Alexander Khotovitsky.,548710,Park
ven_3844703267353739533762526b6f775a7052724545786c4a496843,75315313,40.7681,-73.9687,237,Avena,"22 E 66th St New York, NY 10065 United States",ITALIAN_RESTAURANT,4.3,-1.0,Italian Restaurant,Upper East Side,https://media-cdn.tripadvisor.com/media/photo-l/13/f6/76/c7/the-reception.jpg,"Avena is a restaurant located in the heart of downtown Los Angeles. The restaurant is known for its modern Mexican cuisine and its lively atmosphere. The menu at Avena features a variety of traditional Mexican dishes, as well as some modern twists on clas",0,Italian Restaurant
ven_38493930432d7835416344526b6f775a46505a4f4566384a496843,76841595,40.7801,-73.9808,239,Miriam,"300 Amsterdam Ave New York, NY 10023 United States",MEDITERANEAN_RESTAURANT,4.4,2.0,Mediteranean Restaurant,Upper West Side,https://media-cdn.tripadvisor.com/media/photo-l/11/10/3d/3a/img-20171017-141211-1.jpg,"The venue Miriam is a large, open space with high ceilings and plenty of natural light. The walls are a neutral white, and the floors are a dark wood. There is a stage at one end of the room, and a bar at the other. The space is divided into two sections ",12690483,Mediteranean Restaurant
ven_384a62436f6d5976694364526b6f77595a5968617061724a496843,1600094,40.787,-73.978,239,Maison Pickle,"2315 Broadway New York, NY 10024 United States",AMERICAN_RESTAURANT,4.5,3.0,American Restaurant,Upper West Side,https://media-cdn.tripadvisor.com/media/photo-l/1a/dd/f0/c4/the-fractionalized-drawing.jpg,"Produced by YTG Agency, 2120: An Art Experience by artist Jacob M Fisher is a temporary sound and light art installation at Portion Gallery. Portion Gallery is a blockchain-enabled gallery that exhibits artists that explore the future of art.",20053947,American Restaurant
ven_385252516c6f7a32335439526b6f7759782d57657a5f744a496843,1828839,40.7761,-73.9625,236,Fivestory New York,"1020 Madison Ave New York, NY 10075 United States",APPAREL,4.0,3.0,Fashion Convenience,Upper East Side,https://oaidalleapiprodscus.blob.core.windows.net/private/org-jGKlYxnaMuqEvd6EepOGn6fH/user-aymO9XagO63Y8m7z3r0a0Fg7/img-8xS3vIFvUx5p49Tvl9WT7c5u.png?st=2023-08-01T15%3A55%3A44Z&se=2023-08-01T17%3A55%3A44Z&sp=r&sv=2021-08-06&sr=b&rscd=inline&rsct=image/pn,"Mitchell-Innes & Nash houses works of the world-famous artist, Willem de Kooning, as well as today's hottest contemporary artists.",555491,Fashion Convenience
ven_3855585f5861474e706f34526b6f7759393079333631484a496843,63592504,40.7646,-73.996,50,PRINT.,"Ground Level 653 11th Ave New York, NY 10036 United States",RESTAURANT,4.4,3.0,Restaurant,Midtown Manhattan,https://media-cdn.tripadvisor.com/media/photo-l/10/0e/1b/6b/evening-landscape-photo.jpg,"PRINT. is a modern printing studio and event space located in the heart of downtown Los Angeles. The venue is designed to be a creative hub for the city's vibrant community of artists, designers, and businesses. PRINT. features a state-of-the-art printing",0,Restaurant
ven_3855656e41664c4f68764c526b6f7732446b2d6e71786f4a496843,73318294,40.8134,-73.9631,166,General Grant National Memorial,"W 122nd St & Riverside Dr New York, 10027 United States",OTHER,4.5,-1.0,Tourist Destination,Upper West Side,https://media-cdn.tripadvisor.com/media/photo-l/09/0d/ea/22/general-grant-national.jpg,"COVID-19 Response UPDATE: Beginning August 26, 2020, General Grant NM reopened access to: General Grant NM Main Plaza General Grant NM Overlook Pavilion With public health in mind, the following facilities/operations remain CLOSED/suspended at this time: ",105812,Tourist Destination
ven_38584b356562656e4a4a63526b6f77595a5f4d6d7456674a496843,1438228,40.7674,-73.9819,163,Museum of Arts and Design,"2 Columbus Cir New York, NY 10019 United States",MUSEUM,4.2,3.0,Cultural Heritage,Midtown Manhattan,https://media-cdn.tripadvisor.com/media/photo-l/1c/01/4f/91/the-museum-of-arts-and.jpg,"The Museum of Arts and Design connects people to the creative potential of materials and skilled making. Visitors to MAD discover new forms of artistic expression and encounter artists challenging traditional thinking about history, society, culture, and ",524927,Cultural Heritage
ven_385a743953644e70587637526b6f7759395f534f5334334a496843,75402097,40.7598,-73.9823,230,Oceana,"120 W 49th St New York, NY 10020 United States",SEAFOOD_RESTAURANT,4.5,4.0,Seafood Restaurant,Midtown Manhattan,https://oaidalleapiprodscus.blob.core.windows.net/private/org-jGKlYxnaMuqEvd6EepOGn6fH/user-aymO9XagO63Y8m7z3r0a0Fg7/img-J07b56A4GDeZJcRW45ijUZYC.png?st=2023-08-01T15%3A55%3A51Z&se=2023-08-01T17%3A55%3A51Z&sp=r&sv=2021-08-06&sr=b&rscd=inline&rsct=image/pn,"Oceana is a large nightclub located in the heart of the city. It has three floors, each with its own bar, dance floor, and DJ booth. The bottom floor is the main dance floor, and the top floor is a VIP area with private booths and a balcony overlooking th",548695,Seafood Restaurant
ven_386231727a6a50624d4c4b526b6f775a642d45556a54644a496843,61453277,40.7239,-73.9979,144,MUSEUM OF ICE CREAM,"558 Broadway New York, NY 10012 United States",TOURIST_DESTINATION,4.1,-1.0,Tourist Destination,Lower Manhattan,https://media-cdn.tripadvisor.com/media/photo-l/1a/42/56/25/come-get-some-ice-cream.jpg,"Immerse yourself in the Museum of Ice Cream, where flavor meets fun! In line with our mission to unite and inspire through imagination and connection we offer a unique adventure that is ideal for everyone, regardless of age. From families, groups of frien",19623240,Tourist Destination
ven_3862337a354c4c54387375526b6f7759706a2d304951714a496843,21868851,40.7716,-74.0161,-1,Hamilton Park,"Boulevard East Hudson Pl Weehawken, NJ 07086 United States",PARK,4.8,-1.0,Park,Other,https://media-cdn.tripadvisor.com/media/photo-l/0f/46/f7/3d/mmexport1494854034372.jpg,"Hamilton Park is a beautiful outdoor venue that is perfect for weddings, receptions, and other events. The park has a gazebo, a pond, and a variety of trees and flowers that make it a picturesque setting. There is also a pavilion that can be rented for ev",11999162,Park
