Id,Venue Name,Rating,Price
ven_3075502d337278736a3952526b6f775a4a72674a66616c4a496843,Stile's Farmers Market Wholesale & Retail,4.5,
ven_30782d4b5379586f66706d526b6f775a745f45477777774a496843,The Escape Game NYC,5,
ven_342d4f33343573744c7a2d526b6f775a42774547545f774a496843,Gabriel Kreuther,4.6,4
ven_34416b6a74734635334274526b6f775964314e46695a734a496843,Empanada Mama Hell’s Kitchen,4.4,2
ven_344c49766b705544393465526b6f77327244307a4159434a496843,Nicholas Roerich Museum,4.8,
ven_344c563654744266547349526b6f7733506f68442d65734a496843,Gotham Plaza,4.4,
ven_344d7478767a4b74377548526b6f7759566c78494a516d4a496843,Express,4.4,2
ven_344f4d79636969674a4342526b6f775964314d7430536e4a496843,Hudson Market Place,3.8,
ven_345049646f62573761314b526b6f773254786a4e3765534a496843,Manhattan Food Market,4.2,
ven_345253663836763832756f526b6f775a393563517377394a496843,Union Square Greenmarket,4.6,
ven_345749524855354c344259526b6f775a56706b674639724a496843,Sala Thai,4.7,2
ven_3458593235796c7441736f526b6f775a394c464d6c32774a496843,Chelsea Market,4.5,
ven_3461647039357657624c66526b6f775a39616d754d78594a496843,Escape Virtuality,4.5,
ven_3466426a743170534d634c526b6f77594a76706c5363784a496843,The Mall and Literary Walk,4.8,
ven_3466483971693253303578526b6f7732765463666330384a496843,Westside Market NYC,4.3,2
ven_346c6843676c5559377662526b6f775a354f49314937644a496843,SUMMIT One Vanderbilt,4.5,
ven_346d334a45756f49467752526b6f775a5a62347130786d4a496843,Hudson Market,3.9,
ven_34787a3570694c6e375964526b6f7759645a30414138594a496843,JAMES PERSE,4.6,
ven_347a2d78444c59782d4f4f526b6f77594e3534494233744a496843,Cedar Hill,,
ven_3844456669735664576538526b6f775942716d6c4a5a4b4a496843,East Meadow,,
ven_3844703267353739533762526b6f775a7052724545786c4a496843,Avena,4.3,
ven_38493930432d7835416344526b6f775a46505a4f4566384a496843,Miriam,4.4,2
ven_384a62436f6d5976694364526b6f77595a5968617061724a496843,Maison Pickle,4.5,3
ven_385252516c6f7a32335439526b6f7759782d57657a5f744a496843,Fivestory New York,4,3
ven_3855585f5861474e706f34526b6f7759393079333631484a496843,PRINT.,4.4,3
ven_3855656e41664c4f68764c526b6f7732446b2d6e71786f4a496843,General Grant National Memorial,4.5,
ven_38584b356562656e4a4a63526b6f77595a5f4d6d7456674a496843,Museum of Arts and Design,4.2,3
ven_385a743953644e70587637526b6f7759395f534f5334334a496843,Oceana,4.5,4
ven_386231727a6a50624d4c4b526b6f775a642d45556a54644a496843,MUSEUM OF ICE CREAM,4.1,
ven_3862337a354c4c54387375526b6f7759706a2d304951714a496843,Hamilton Park,4.8,
ven_38634657454b5f4e4f3633526b6f7759706f526b4956354a496843,Dark Bullet Sake & Oyster Bar,4.6,2
ven_38645155503361334d3934526b6f7759355956627538384a496843,Hayden Planetarium,4.6,
ven_3866497051714e61656e4b526b6f7759683141556f5a544a496843,Spyscape,4.5,
ven_386953773374434b6b5269526b6f7732547950655a52534a496843,The Ravine,4.7,
ven_386a38316843494f623939526b6f775956497a52385f6b4a496843,Bustan NYC,4.5,2
ven_386b4c712d792d70556e33526b6f77596c5f66384652324a496843,The Museum Store,4.5,3
ven_386e695754345a63674c55526b6f775a52572d447461364a496843,SAINT,4.5,3
ven_3875714251714574684232526b6f775a78614e3764616c4a496843,ZIMMERMANN,4,
ven_412d3456724470426e4e74526b6f77595a3442455832334a496843,St. James Gate,4.4,2
ven_4132676164315471633870526b6f775a3138534d6154384a496843,Cherry Hill,,
ven_41327361525f7279547a31526b6f77596c596e506e7a524a496843,sweetgreen,4.1,2
ven_4133437134305f48354a45526b6f775a4a7a434b7a786f4a496843,Westside Market NYC,4.1,
ven_41385744666f5633537862526b6f775a3967446a6b34774a496843,State & Liberty Clothing,4.5,
ven_41434b554a474f30326d2d526b6f77594a6153713854734a496843,"Cooper Hewitt, Smithsonian Design Museum",4.5,
ven_41447173382d415f674c61526b6f775a78425a687932494a496843,Whole Foods Market,4.4,
ven_4148494f684649484f4477526b6f775a4e68634d4255554a496843,Koloman,4.4,
ven_414a747771393059503062526b6f7759523448483656324a496843,French Roast,4.2,2
ven_414b7738354e6969583170526b6f77594a6f5f317930534a496843,Dagon,4.5,
ven_41546174395076324a4a4a526b6f77594a4b5a6d53634b4a496843,Engineers' Gate,4.8,
ven_41546447325f6964534674526b6f775a4673765f6133624a496843,Nordstrom Local Upper East Side,4.4,
ven_415658356c724c57637158526b6f7759355966794556494a496843,New-York Historical Society,4.5,
ven_415745442d5a476e6b6736526b6f775a787569364655794a496843,Gyu-Kaku Japanese BBQ,4.3,2
ven_41585874446f73365f7a42526b6f77595a6f43636432304a496843,Land Thai Kitchen,4.2,2
ven_415a37545a367078557066526b6f775a5a6271774a626e4a496843,Hudson Yards,4.6,
ven_41633250634c684c2d2d78526b6f775956567774752d6b4a496843,Father Duffy Square,4.6,
ven_4167636c42756f62557359526b6f775a646f545a4f554b4a496843,Flor de Mayo,4.5,2
ven_4168437230416a45783158526b6f7759526c2d6f5339524a496843,Carmine's Italian Restaurant - Times Square,4.5,2
ven_416a395131386f65616b51526b6f7759703461425661574a496843,Cibo e Vino,4.5,2
ven_416b786c6558446c49774b526b6f7751427045636154504a496843,Statue of Liberty,4.7,
ven_417239716752736e6c447a526b6f7759745078672d574d4a496843,The Modern,4.6,4
ven_417a5431376a5179444b58526b6f77596859716e6a574a4a496843,Sarabeth's,4.2,2
ven_4531715754335f314a5337526b6f7759565950466435714a496843,Spiga Restaurant,4.6,2
ven_453338504841477742644e526b6f776135556f514566504a496843,New York Transit Museum Gallery & Store,4.3,2
ven_4537554f41513330705337526b6f7759705f6736675a764a496843,Bergdorf Goodman's Men's Store,4,
ven_4542344e3875744948577a526b6f7759747055696252704a496843,Bodega 88,4.5,2
ven_4543634c6c434732394731526b6f77595634334c5539324a496843,Peacefood Uptown,4.4,2
ven_4546756a7858704b6e724c526b6f7759686f55346e30354a496843,RedFarm,4.3,3
ven_454a426f344a7a6c764a74526b6f7759525f767035794b4a496843,The Leopard at des Artistes,4.4,4
ven_454b716e73544e6e535f74526b6f7759683159304f37494a496843,ABA Turkish Restaurant,4.3,2
ven_454e45337a4148416b4d37526b6f775a564956534632774a496843,C'H'C'M',4.6,
ven_454e4e686e4a7046453659526b6f775a6c3673525158614a496843,Empire State Building,4.7,
ven_454f634678633041735971526b6f7759317230696763504a496843,Toloache,4.4,3
ven_4550537033587663775f54526b6f775a744869415761754a496843,Paola's Osteria,4.2,
ven_4551746438656c42365158526b6f775a4e3641514a5a6b4a496843,MUJI Chelsea,4.5,
ven_45526743724b6275446346526b6f77616443703474574a4a496843,Jing Fong - UWS,4,2
ven_45566b4479733438494a61526b6f775952704d3242546a4a496843,Acquavella,4.6,
ven_455767536751545570386d526b6f775a704e49672d56534a496843,Gotham Gifts,5,
ven_4557736c70763768333575526b6f775974592d573133714a496843,Patsy's Pizzeria,4.3,2
ven_455946676359706d47646e526b6f77595a5f4c735033704a496843,BOSS Store,3.8,4
ven_45594a653355315a67485a526b6f775a647548466537304a496843,Plum Vietnamese Restaurant,4.6,2
ven_4565635872326c5643414d526b6f775a70364b4e5452304a496843,Wow! Custom Tees,4.3,
ven_45686d5f4b314856766e31526b6f77334c4a30316453394a496843,Baazi Nyc,4,
ven_456a3266757a4250707a4e526b6f775a524135576738364a496843,The RealReal,2.7,
ven_456c694e4c624c6f555862526b6f7759566c74633152704a496843,Grand Slam New York,4.3,
ven_456c6a3469774243445068526b6f775a3172364d5378424a496843,Westside Market NYC,4.2,2
ven_456e54656a5a6276575936526b6f775a4e2d43744f5f644a496843,Old Navy,4.5,
ven_45726a5056536837314f32526b6f775a706177714132434a496843,Whole Foods Market,4.4,3
ven_45767a5a37493134595157526b6f775964324e424e65734a496843,Riverside Park South,4.8,
ven_4932505970545878416d71526b6f775a4a75666b6630474a496843,Bad Roman,3.9,
ven_4935413664674943595a53526b6f775a743776425656564a496843,Chelsea Exclusive New York ny,4.7,
ven_4945542d5a7655334d6a57526b6f7759523172664f56384a496843,Restaurant Above,4.3,3
ven_494a68323156454c57744d526b6f775935666f68472d764a496843,Gucci,4.3,4
ven_494d30494477545a4a657a526b6f7759563531734432524a496843,La Boutique Resale Consignments,4.2,
ven_495374556d36693165436d526b6f775a464558707631774a496843,Felice 56,4.6,2
ven_495843304f594b6f355130526b6f775978656f435636394a496843,Ralph Lauren Men's Flagship,4.3,4
ven_495a76784756397a636c61526b6f77595659624d79624f4a496843,Tarallucci e Vino Upper West Side,4.3,2
ven_495f6e76636f42494a6841526b6f77595650686c735f774a496843,Dante Park,4.4,
ven_495f727346415163724f64526b6f77325f784f413864794a496843,The Loch,4.6,
ven_496166424b6e594d315673526b6f7759525073506f58434a496843,American Museum of Natural History,4.6,
ven_49617343525a5972794235526b6f775a707135475357484a496843,L’Adresse American Bistro,4.4,2
ven_49696f3179734b6a693473526b6f77595249534f6865434a496843,Jacob's Pickles,4.6,2
ven_496b764942506d56454b71526b6f775a564b6c5f69564a4a496843,Carlos & Gabby's,4.1,2
ven_496e4a6a53637471707138526b6f7759706131473859524a496843,Ward's Island Bridge,4.6,
ven_496f786742743433746c6f526b6f773144646a306c39344a496843,The Arsenal,4.4,
ven_49724965316452505f3148526b6f77594a35553366315f4a496843,The Ramble,4.8,
ven_49726b487a6d4b496a5538526b6f77593949365744396f4a496843,Rose Center for Earth and Space,4.6,
ven_497334794b377835486e55526b6f775964356c4b565f4a4a496843,Ancient Playground,4.6,
ven_497749695a725530395438526b6f7759355531676c786e4a496843,"Intrepid Sea, Air & Space Museum",4.6,
ven_4d324566304a52446b6234526b6f77594e5f786c4d33344a496843,Central Park Carousel,4.3,
ven_4d396348634d4855643376526b6f775a5a664a2d61796a4a496843,Grand Banks,4.4,3
ven_4d443645386a3859364c66526b6f7759354930487433714a496843,Shake Shack Upper West Side,4.3,2
ven_4d446b59594e4549377562526b6f77594a4651414151414a496843,One Times Square,4.6,
ven_4d457a4474397179337835526b6f7759704a46752d77734a496843,Arthur Ross Pinetum,4.7,
ven_4d4e4a7a66346836745a31526b6f77597434434e4455414a496843,Polpette 71,4.5,2
ven_4d4f56636f49432d425736526b6f77326a6947344f327a4a496843,Manhattan Diner,4.3,2
ven_4d4f717065304438546963526b6f773244306d4c6f66624a496843,The Riverside Church,4.6,
ven_4d5479484a476c70664144526b6f7759746f423142634f4a496843,Parm,4.2,2
ven_4d566a675754566e775938526b6f775964767a734d342d4a496843,Nordstrom Men's Store,4.5,
ven_4d67644a7a4f42754a6772526b6f775a3949544542352d4a496843,Beyond the Edge,4.4,
ven_4d6775434b4f4f3239616a526b6f775a64414f333534334a496843,The Morgan Library & Museum,4.7,2
ven_4d68414c714841656f6d2d526b6f775964467a735236764a496843,Victor's Cafe,4.4,2
ven_4d68567669785469346469526b6f775a5a7167564965704a496843,Memories of New York,4.7,
ven_4d6a306b416131617a736f526b6f7759355f7a6d3155394a496843,Rockefeller Center,4.7,
ven_4d6b635a66496d5f4e4974526b6f77595a66714b76536f4a496843,Umpire Rock,4.6,
ven_4d7363525932556e48667a526b6f77596c3442544d78754a496843,Amsterdam Ale House,4.3,2
ven_4d79736a4a727a504f415a526b6f77594e59644e6232714a496843,Bodrum Mediterranean Restaurant,4.4,2
ven_5131757937506d716a5656526b6f7759316265523959354a496843,Church of St. Ignatius Loyola,4.8,
ven_51386f4f4968583076775f526b6f77327a6a56375230614a496843,The Cathedral Church of St. John the Divine,4.5,
ven_51416f63306f39377a4475526b6f77594a716d65355a6d4a496843,Solomon R. Guggenheim Museum,4.3,
ven_51446447416e773241794f526b6f775970494e52397a654a496843,West NYC,4.4,
ven_5149584e6b423237664c6b526b6f773248785f7a7356564a496843,NiLu Gift Boutique,4.7,
ven_514c6e7669624a33455f70526b6f775a703635674762764a496843,Bryant Park,4.7,
ven_514f6c557435625a377953526b6f77594e3444305363374a496843,Mido,4.4,2
ven_51524c4a765a6e57613870526b6f775a4a77792d7454614a496843,Amish Market East,4.4,2
ven_5158584145756f374a4b76526b6f777a376635445166474a496843,The Hudson,3.9,2
ven_5159664733765259417939526b6f77325f534d6134346a4a496843,Firemen's Memorial,4.7,
ven_515f325678612d31534c72526b6f7759353474423453314a496843,Raku,4.5,2
ven_515f466457386349774574526b6f775a46556e374353444a496843,Wolf at Nordstrom NYC,4.7,3
ven_51613841453567574f656b526b6f7759564632656134394a496843,Hershey's Chocolate World,4.6,
ven_51645f6d43556b5251305a526b6f775a6c31744b5359534a496843,Libertine,4.7,
ven_51667962777a6c6d64306e526b49726f725a77756f366d4a496843,Mandu Apparel and Accessories KPOP Store,4.5,
ven_51683176714b3744615056526b6f77597862375f6b576f4a496843,H&M,4,1
ven_51686c716e456d45333074526b6f77595a596f4646367a4a496843,Kasbah Grill,4.4,3
ven_5169454c59645f6c63436d526b6f7762644f366b727a354a496843,Mostrador NYC,4.8,
ven_51695f51454843725a5431526b6f775952656f495459354a496843,The Atrium,4.2,2
ven_516c467570796e3658524b526b6f775a395562336d53584a496843,The Restaurant,4.2,2
ven_516e525873374354527751526b6f7759313477732d34394a496843,Ladies Pavilion,4.7,
ven_51717653514d7730366249526b6f77624e41797a6a39754a496843,Whole Foods Market,4.2,2
ven_517362734b764763584752526b6f775a4a3032463051764a496843,Harta & Bar Harta,4.3,
ven_517633786e463661386438526b6f775a78387a6435336a4a496843,Kissaki Sushi,4.3,
ven_517636454b535639515037526b6f775968566f6c767a4a4a496843,H&M,4.2,1
ven_51765838504c5130754d69526b6f775a5a774e723436554a496843,4 Union Square,4.4,
ven_517a58434f57747944772d526b6f77595649306c47366c4a496843,Fred's,4.4,2
ven_517a647163634b746c6a42526b6f7759705f6c555f30424a496843,Chanel,3.9,4
ven_553045716f6975386f7663526b6f775a743263763353354a496843,Felice 71- Columbus,4.6,2
ven_553150702d56576b7a7652526b6f775a357073625a78334a496843,Westside Market NYC,4.4,2
ven_55317964596f7075755871526b6f77597476365a6f39624a496843,UNIQLO,4.5,
ven_5532317551593261384446526b6f775946505f576a57614a496843,Central Park Zoo,4.4,
ven_5536434b44427779443572526b6f775a5a356d787964624a496843,Quality Eats,4.4,3
ven_554753707a353136347861526b6f775a646b36515137564a496843,Le Bernardin,4.4,
ven_554975514d79783467714d526b6f77594e706e4e6b7a414a496843,Alice in Wonderland,4.6,
ven_554977416f345578784c55526b6f77596876504948524d4a496843,New York Attitude Gift shop,4,
ven_554f563759583653705f73526b6f775a646146374456574a496843,Upland,4.5,3
ven_554f66576a594b6a744d5f526b6f775a467258773155664a496843,City Sightseeing New York,3.8,
ven_555135764d4d546a5a596c526b6f775970347a47625a5a4a496843,Il Violino,4.3,2
ven_555234376f4f4f30364447526b6f775a4a7752465057654a496843,Chrysler Building,4.6,
ven_55527370774e3350323349526b6f775a685a6d615f34534a496843,Tacombi,4.3,2
ven_5556474f56636f7565674c526b6f7759566c78494a516d4a496843,Times Square,4.7,
ven_555966764a6e4a74677257526b6f77595636792d5257664a496843,Barking Dog,4.2,2
ven_555a7a4667656331714337526b6f775a4a396e6a55792d4a496843,Covacha,4.2,
ven_55613477334b4957707751526b6f77595a49654f5632364a496843,Children's Museum Of Manhattan,4.2,
ven_556242455a4d50646d7736526b6f775a7061734749664e4a496843,Circle Line Sightseeing Cruises,4.5,
ven_5563704d4539434c6d7445526b6f775a5a7753726630674a496843,Murray Hill Market,3.8,2
ven_5566616f4e337545413945526b6f7759782d54524361674a496843,rag & bone,4.3,
ven_556a587447624c4f5f4b39526b6f77595a504c547756534a496843,Turnstyle Underground Market,4.4,1
ven_556e5f3675393756787575526b6f775a4a674f497a396a4a496843,Grand Central Market,4.5,
ven_557258376d4e6e56463972526b6f7759526f6b6e5f796f4a496843,Manhattan Jewish Experience,4.7,
ven_5574675f763163636a455f526b6f775952493438325f724a496843,Good Enough To Eat,4.1,2
ven_55754a78505f3458706d75526b6f775a464b6444512d674a496843,Tasca NYC,4.6,2
ven_5577355866726e4c5f2d7a526b6f775a6c4b64414863364a496843,Superdry,4.3,3
ven_5578692d5370733636656a526b6f77595a3441356359704a496843,Luke's Lobster Upper West Side,4.4,2
ven_557a78624d425838544f65526b6f7759316569484d30554a496843,Balto Statue,4.7,
ven_592d5a6c757552454a5663526b6f77594e6f442d4d53364a496843,Spice (Upper West Side),4.2,2
ven_593769776f766b664d5845526b6f775a6c4c387937664b4a496843,MiGarba NYC,4.9,
ven_593850536c663139675869526b6f77595270364a4d334e4a496843,Whitney Museum of American Art,4.5,
ven_59394d6e4647334b39736f526b6f7759743444707577544a496843,Pomodoro Rosso,4.4,2
ven_5945636445507078654d7a526b6f77594a71514e6c35304a496843,Carnegie Mansion,4.1,
ven_5949374d505f6a4c4a6563526b6f775a4a3368674b5a4a4a496843,Cathédrale Restaurant,4.3,2
ven_594c336c54424932686837526b6f77593559306b3066524a496843,Sushi of Gari UWS (Gari Columbus),4.5,4
ven_594c414b424e7861515470526b6f77327652734f6a54714a496843,Charles A. Dana Discovery Center,4.6,
ven_594d2d536b726e74415734526b6f7759686f75465836484a496843,Nina’s Great Burrito Bar,4.3,1
ven_594d347279374661335a62526b6f775a465938664338314a496843,Only NY,4.3,
ven_59525f746b6a5a6f755359526b6f77594634376336374d4a496843,Hippo Playground,4.7,
ven_595736565a6d62787a7330526b6f77326e4272346b774c4a496843,The Blockhouse,4.4,
ven_595a6f4263556f73586448526b6f7759705f6762495f334a496843,Edwynn Houk Gallery,4.8,
ven_595f5f784d463266636a6f526b6f7759424a4272355a4a4a496843,Summit Rock,4.7,
ven_5962576e4e726135545f56526b6f775939595a4d3558324a496843,Patagonia,4.6,3
ven_596454514639324f565773526b6f77325f525975565a6c4a496843,Glen Span Arch,4.8,
ven_5966445f6e70786d686750526b6f775a394c574174536b4a496843,Manhattan Fruit Market,4.3,
ven_5972624350616238694f57526b6f77595a5a31725930354a496843,The Obelisk,4.7,
ven_59755648394e677857394b526b6f775a466431616830704a496843,HAGS,4.7,
ven_5977343532576353545439526b6f77594e49533662556b4a496843,West Side Community Garden,4.8,
ven_5979723758766e56754467526b6f77326a6967775632684a496843,Westside Market NYC,4.3,2
ven_597a616b6a716649565079526b6f77595a4a63445161384a496843,E.A.T.,3.2,3
