time,temperature_2m (°C),apparent_temperature (°C),precipitation (mm),weathercode (wmo code),visibility (m),windspeed_10m (km/h)
2023-06-27T18:00,24.3,26.9,0,3,19900,9.5
2023-06-27T19:00,24.3,27.3,0,3,19800,7.9
2023-06-27T20:00,25,28,0,3,20900,7.8
2023-06-27T21:00,25.6,28,0,3,24600,8.9
2023-06-27T22:00,24.7,26,0,1,21500,18.1
2023-06-27T23:00,23.4,23.9,0,3,23800,15.6
2023-06-28T00:00,21.3,22.1,0,3,18900,13
2023-06-28T01:00,20.6,22.7,0,3,17700,4.8
2023-06-28T02:00,20.1,21.9,0,3,14900,7.5
2023-06-28T03:00,19.9,21.8,0,3,14300,7.8
2023-06-28T04:00,19.5,21.7,0,1,14900,3.9
2023-06-28T05:00,19.1,21.6,0,2,12900,2.2
2023-06-28T06:00,19.7,22,0,3,13100,5.9
2023-06-28T07:00,18.9,21.6,0,3,12500,1.5
2023-06-28T08:00,18.6,20.8,0,3,12200,3.4
2023-06-28T09:00,18.6,20.8,0,0,12900,3.1
2023-06-28T10:00,18.8,20.8,0,3,12500,5.6
2023-06-28T11:00,19.3,21.8,0,3,12200,4.7
2023-06-28T12:00,20.4,23.1,0,3,14300,4.5
2023-06-28T13:00,21.6,24.8,0,2,16400,1.4
2023-06-28T14:00,23,27.1,0,2,17800,4
2023-06-28T15:00,24.6,29.8,0,3,19200,2.6
2023-06-28T16:00,25.3,28.6,0,1,21200,3.6
2023-06-28T17:00,26.5,28.6,0,1,27200,7.9
2023-06-28T18:00,27.6,28.3,0,1,32800,14.5
2023-06-28T19:00,26.9,27.5,0,1,29900,16.9
2023-06-28T20:00,27,27.4,0,2,30100,17.3
2023-06-28T21:00,26.6,27.5,0,2,26300,18
2023-06-28T22:00,26.2,27.2,0,3,27800,13.8
2023-06-28T23:00,25.8,26.4,0,2,31400,12.2
2023-06-29T00:00,25.1,25.8,0,3,30200,10.8
2023-06-29T01:00,23.7,24.6,0,1,28300,8.4
2023-06-29T02:00,22.9,23.7,0,1,24800,9.9
2023-06-29T03:00,21.5,21.2,0,3,24000,14.5
2023-06-29T04:00,21.3,21.4,0,3,23000,12.4
2023-06-29T05:00,19.8,19.9,0,2,20600,10.8
2023-06-29T06:00,18.9,19.1,0,1,20300,8.8
2023-06-29T07:00,18.1,18.4,0,0,20400,6.9
2023-06-29T08:00,17.6,17.9,0,0,19400,6.3
2023-06-29T09:00,17.4,17.7,0,0,18400,6.5
2023-06-29T10:00,17.6,18.4,0,3,16500,5.6
2023-06-29T11:00,18.9,20.1,0,3,17100,5.8
2023-06-29T12:00,20.3,21.5,0,0,19600,6.4
2023-06-29T13:00,21.7,23.2,0,3,22300,5.7
2023-06-29T14:00,23.5,25.9,0,1,24500,4.2
2023-06-29T15:00,25.4,29.6,0,1,27600,1.4
2023-06-29T16:00,25.4,28.1,0,1,28700,5.4
2023-06-29T17:00,26.9,29.5,0,1,33400,4.5
2023-06-29T18:00,27,30.2,0,1,30900,2.1
2023-06-29T19:00,28.3,28.9,0,2,41800,10.4
2023-06-29T20:00,28.3,30.1,0,1,39500,7.8
2023-06-29T21:00,28.2,30.2,0,1,39900,1.5
2023-06-29T22:00,27.2,28.6,0,3,40200,2
2023-06-29T23:00,24.9,25.1,0,3,29700,13.7
2023-06-30T00:00,24.4,25.5,0,2,29500,8
2023-06-30T01:00,22.7,24.2,0,0,22800,7.4
2023-06-30T02:00,22.1,23,0,2,21700,11.3
2023-06-30T03:00,21.4,23.4,0,0,16300,8.1
2023-06-30T04:00,21.8,24.4,0,2,16700,4.1
2023-06-30T05:00,20.9,23.5,0,0,15000,5
2023-06-30T06:00,20.3,23,0,0,14000,3.9
2023-06-30T07:00,19.7,22.1,0,0,13100,4.6
2023-06-30T08:00,19.6,22.2,0,0,12900,2.4
2023-06-30T09:00,19.9,22,0,2,14000,5.1
2023-06-30T10:00,19.9,22.2,0,1,13700,4.8
2023-06-30T11:00,20.5,23.4,0,0,13200,4.1
2023-06-30T12:00,21.7,24.9,0,1,13600,5.4
2023-06-30T13:00,23.3,26.9,0,2,16600,4.6
2023-06-30T14:00,25.2,29.7,0,0,21700,4.7
2023-06-30T15:00,26.7,30.3,0,3,24900,4.4
2023-06-30T16:00,26.9,29.8,0,2,28400,3.4
2023-06-30T17:00,29.1,31.6,0,1,37100,6.6
2023-06-30T18:00,29.4,31.3,0,1,41300,13.7
2023-06-30T19:00,29.1,30.6,0,2,40100,12.2
2023-06-30T20:00,28.5,29.3,0,0,36700,17.7
2023-06-30T21:00,27.6,28,0,3,33500,17.1
2023-06-30T22:00,26.8,27.1,0,2,31000,16.7
2023-06-30T23:00,26,26,0,2,34300,14.7
2023-07-01T00:00,24.1,23.6,0,1,30900,16.1
2023-07-01T01:00,23.1,23.5,0,0,29400,8.2
2023-07-01T02:00,22.7,23.3,0,0,29900,6.1
2023-07-01T03:00,21.4,22.4,0,0,26400,3.3
2023-07-01T04:00,20.5,22,0,0,19800,4.2
2023-07-01T05:00,20.5,21.6,0,0,24000,3.1
2023-07-01T06:00,19.6,20.1,0,0,23800,5.8
2023-07-01T07:00,19.1,20.2,0,0,20900,2.5
2023-07-01T08:00,19.1,19.5,0,0,24800,3.9
2023-07-01T09:00,18.6,18.9,0,0,24100,3.4
2023-07-01T10:00,18.2,19.3,0,0,19600,1.3
2023-07-01T11:00,19.7,22.3,0,0,15200,0.5
2023-07-01T12:00,21.8,23.8,0,0,22000,3.4
2023-07-01T13:00,23.6,24.7,0,1,32100,3.7
2023-07-01T14:00,25.3,27.2,0,1,33500,7.2
2023-07-01T15:00,26.7,29.1,0,1,32400,10
2023-07-01T16:00,27.9,29.9,0,0,37700,15.3
2023-07-01T17:00,28.1,30.3,0,1,35000,17.3
2023-07-01T18:00,28.2,29.4,0,0,35900,20.9
2023-07-01T19:00,28,29.2,0,1,32900,19.7
2023-07-01T20:00,26.9,27.9,0,1,28100,19.7
2023-07-01T21:00,26.3,26.1,0,0,31100,17.7
2023-07-01T22:00,25.2,25.2,0,2,29100,16.9
2023-07-01T23:00,23.9,23.6,0,0,26100,18
2023-07-02T00:00,23.1,23.5,0,3,22200,15.3
2023-07-02T01:00,22.1,22.9,0,2,20100,11.8
2023-07-02T02:00,21.8,22.8,0,1,19900,10.5
2023-07-02T03:00,21.3,23.1,0,2,14800,10.6
2023-07-02T04:00,21.2,22.9,0,0,16300,9
2023-07-02T05:00,21.4,23.5,0,3,16000,7.7
2023-07-02T06:00,21.2,24.5,0,3,12500,5
2023-07-02T07:00,22,24.8,0,3,13600,8.9
2023-07-02T08:00,21.7,24.5,0,3,12500,8.7
2023-07-02T09:00,22,24.9,0,3,13700,7.7
2023-07-02T10:00,21.7,24.6,0,3,13300,7.2
2023-07-02T11:00,21.9,24.4,0,3,13600,9.4
2023-07-02T12:00,22.6,25.3,0,3,14300,10.3
2023-07-02T13:00,23.7,26.3,0,3,17600,9.2
2023-07-02T14:00,24.9,27.5,0,3,18300,11.2
2023-07-02T15:00,25.7,28.5,0,3,18300,11.5
2023-07-02T16:00,27.6,31.8,0,3,21400,10.6
2023-07-02T17:00,29.8,34.7,0,1,26600,13.6
2023-07-02T18:00,30.9,33.7,0,3,29300,15.3
2023-07-02T19:00,29.1,32,0,3,23600,14.6
2023-07-02T20:00,28.8,34,0,96,18800,14
2023-07-02T21:00,28.9,33,0,95,20300,11.9
2023-07-02T22:00,25.9,29.6,0,1,13900,15.9
2023-07-02T23:00,24.5,28.2,0,3,16300,6.9
2023-07-03T00:00,25.3,29.2,0,3,17000,7.2
2023-07-03T01:00,25.5,28.8,0,3,19500,8.4
2023-07-03T02:00,24.3,27.8,0,3,15000,9.2
2023-07-03T03:00,24,27.7,0,3,15100,7.6
2023-07-03T04:00,24.1,27.7,0,3,14900,9
2023-07-03T05:00,23,26.1,0,3,14200,9.2
2023-07-03T06:00,23,26.4,0,2,14500,7.6
2023-07-03T07:00,22.3,25.6,0,0,13100,7.1
2023-07-03T08:00,22.3,25.7,0,0,13900,5.4
2023-07-03T09:00,22,25.1,0,0,14400,5.4
2023-07-03T10:00,22.1,25.2,0,2,14700,5.8
2023-07-03T11:00,23.3,26.8,0,0,15400,7.2
2023-07-03T12:00,23.8,26.7,0,2,17800,8.5
2023-07-03T13:00,24.8,28.8,0,0,17100,6.6
2023-07-03T14:00,26.7,32,0,0,22100,3.6
2023-07-03T15:00,28.5,34.7,0,0,24300,3.3
2023-07-03T16:00,29.4,36.9,0,0,24000,2.9
2023-07-03T17:00,30.4,37.4,0,1,26300,4.8
2023-07-03T18:00,30.6,35.4,0,2,27300,9.9
2023-07-03T19:00,31.8,36.7,0,1,32200,11.2
2023-07-03T20:00,31.1,35.3,0,96,27500,15.1
2023-07-03T21:00,30.9,34.1,0,96,27500,14.7
2023-07-03T22:00,30.5,34.1,0,96,25000,13.6
2023-07-03T23:00,29,32.5,0,95,24800,10.5
